run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
sync,1783597801.290375,330.943603967,52.031635139835366,0,0,44.23358633548741,0,48.12924461164178,51.220665919342224,46.26077638375368,487.026,354.376,336.544,461.75,244.869,477.124,486.002,472.477
sync,1783597816.089752,345.742981041,,,,,,,,,,,,,,,,
sync,1783597816.301762,345.954991183,0,0,0,0,0,0,0,0,252.614,247.322,244.534,244.849,249.419,246.178,247.348,245.49
sync,1783597831.089999,360.743227986,,,,,,,,,,,,,,,,
sync,1783597831.290452,360.943681114,51.95194898310563,48.8359462180666,49.399425017619194,51.15693263274679,0,52.21508403660432,50.16315336358738,52.19423525430372,498.04,477.217,470.016,488.848,253.486,490.806,484.171,502.319
sync,1783597846.0909576,375.744186529,,,,,,,,,,,,,,,,
sync,1783597846.2907832,375.944012085,77.45091487539838,69.59771171078167,88.26431974856929,78.45709731985025,63.28822729591453,68.67628718029036,67.31164430735397,83.06148519171217,782.634,708.18,845.781,763.521,645.761,687.258,659.801,809.048
sync,1783597861.0901546,390.743383571,,,,,,,,,,,,,,,,
sync,1783597861.2905378,390.943766883,56.09933691305849,54.71220308623583,53.865385360461424,54.68739401592423,54.335846226434526,59.024376317318946,53.487778981255865,52.732723064638634,528.379,527.493,511.255,524.913,524.292,563.059,493.302,505.226
sync,1783597876.0899134,405.743142263,,,,,,,,,,,,,,,,
sync,1783597876.348254,406.001482939,45.129284016618634,83.24958947840813,24.286783708762016,61.0545836674882,50.83295171450041,43.44674174694927,40.74522949858754,51.82936932126976,249.568,281.944,281.663,258.877,281.519,301.629,301.502,305.773
sync,1783597891.0900388,420.743267826,,,,,,,,,,,,,,,,
sync,1783597891.2903137,420.943542737,57.319308812253034,61.15148699057513,57.15429594380128,57.476152797558534,60.038018546436774,57.33437358957695,61.00419664992823,62.254488022067356,569.519,584.456,552.438,535.519,580.366,564.938,591.19,598.697
sync,1783597906.08986,435.743089014,,,,,,,,,,,,,,,,
sync,1783597906.2901537,435.943382672,73.92018570860728,72.02395517628095,70.79294951483939,71.77303593004837,73.65253292345142,63.328289966749075,67.40986597451109,58.1941871732791,598.254,618.214,589.577,646.137,612.262,590.677,603.143,572.212
sync,1783597921.0905828,450.743811823,,,,,,,,,,,,,,,,
sync,1783597921.290773,450.944001836,61.30161370603419,65.15501612744484,60.3722429983088,64.93474014384272,64.47106718254454,61.06495157884076,60.76610997443391,63.27936811781301,633.348,624.227,589.518,619.256,629.833,613.892,605.5,634.041
sync,1783597936.0896678,465.742896806,,,,,,,,,,,,,,,,
sync,1783597936.291997,465.945225856,0,0,0,0,0,52.28835200816203,0,1.7330785324660813,333.335,311.446,405.77,358.566,244.39,487.415,240.188,425.679
sync,1783597951.0904403,480.74366936,,,,,,,,,,,,,,,,
sync,1783597951.2907264,480.943955457,0,0,0,0,0,0,0,0,246.837,243.708,239.892,240.567,244.97,243.215,240.729,242.309
sync,1783597966.089518,495.742747042,,,,,,,,,,,,,,,,
sync,1783597966.2904818,495.943710895,39.23016027513647,52.66510227389387,39.54658387984199,38.034566916618424,45.988031849775616,52.24120026761818,38.50303459886458,39.228151377081325,470.686,494.504,454.802,461.65,467.419,493.046,457.512,466.614
sync,1783597981.0902698,510.743498885,,,,,,,,,,,,,,,,
sync,1783597981.290645,510.943873815,69.77426710048886,51.50340616726373,67.05354951888735,60.34125186418506,57.34760703360124,82.09681138240008,65.0286041078695,72.62567413754857,814.836,621.613,759.178,673.13,612.381,886.649,678.541,799.195
sync,1783597996.0893724,525.742601285,,,,,,,,,,,,,,,,
sync,1783597996.2990031,525.95223212,63.850548538909635,67.75106416017903,63.71432612935877,61.918809699178226,62.79450403937833,63.352354100249684,72.8070198712014,59.740868439961446,719.645,730.247,697.061,686.966,696.243,717.194,734.635,669.395
sync,1783598011.0898213,540.743050243,,,,,,,,,,,,,,,,
sync,1783598011.291273,540.944502017,67.34663538017833,71.29832591869432,65.86331903559741,71.81892076387638,70.54439150012918,65.82672098322966,75.37208995678986,64.15791076530017,760.646,773.801,713.18,726.141,733.237,739.32,791.877,657.385
sync,1783598026.0895853,555.742814244,,,,,,,,,,,,,,,,
sync,1783598026.3134773,555.966706189,63.55809368217834,53.10222104388389,39.91808500214301,48.70868356451372,51.211004622391386,40.724347874678216,57.27507219667961,61.99566546262687,367.891,348.839,341.231,384.37,359.921,371.543,379.263,401.538
sync,1783598041.0903533,570.74358214,,,,,,,,,,,,,,,,
sync,1783598041.2907803,570.944009339,77.6146762444291,78.96278327205884,77.32402678236106,78.66851645231334,77.34316405623234,76.43922934622606,76.9019927211253,78.20476750015199,838.64,833.863,803.01,828.072,824.737,810.698,810.546,848.937
sync,1783598056.0898986,585.743127584,,,,,,,,,,,,,,,,
sync,1783598056.2902756,585.943504537,69.12812413544201,75.95623992646622,67.37649385051354,58.7758806729118,63.83793514440422,70.7896044003613,64.67276620335085,61.153663413950575,802.36,808.723,760.047,730.432,744.082,789.8,739.55,760.709
sync,1783598071.0903502,600.743579126,,,,,,,,,,,,,,,,
sync,1783598071.29002,600.943249089,0,0,0,0,0,0,0,0,247.256,244.512,240.039,241.3,245.27,243.619,240.702,243.233
sync,1783598086.0899665,615.743195646,,,,,,,,,,,,,,,,
sync,1783598086.2920651,615.94529422,63.694440674945554,67.2788441325573,62.44859938758665,58.76445637157752,66.51779092069953,66.34911403101702,67.36875829937846,67.15380779292602,697.953,697.29,701.418,679.582,705.505,687.262,697.847,677.926
sync,1783598101.0897305,630.742959568,,,,,,,,,,,,,,,,
sync,1783598101.2901106,630.943339686,0,0,69.78633628455904,71.57836153057444,69.89423409548024,4.643811050949691,0,0,249.13,246.884,726.058,738.974,734.353,631.858,683.816,244.002
sync,1783598116.0898633,645.743092262,,,,,,,,,,,,,,,,
sync,1783598116.290275,645.943504128,44.19170924878365,0,0,38.01546746129099,0,44.12787808329219,46.171777556061635,43.35470390914103,477.618,243.629,240.197,462.506,244.718,467.694,463.352,464.565
sync,1783598131.0904253,660.74365437,,,,,,,,,,,,,,,,
sync,1783598131.292335,660.945563971,0,0,0,0,0,0,0,0,246.432,242.764,239.021,240.143,243.7,242.815,239.996,241.811
sync,1783598146.0904489,675.743677841,,,,,,,,,,,,,,,,
sync,1783598146.2908292,675.944058209,0,0,0,0,0,0,0,0,245.666,242.383,238.79,239.402,243.314,241.987,239.31,241.323
sync,1783598161.0900888,690.743317816,,,,,,,,,,,,,,,,
sync,1783598161.3098009,690.963029935,61.74136813874972,65.06375848211741,64.51731615518496,61.62248572652904,64.77408759423349,0,63.8873403924233,61.92671585167568,652.652,616.706,613.358,627.271,618.34,451.822,621.236,630.053
sync,1783598176.0893407,705.74256959,,,,,,,,,,,,,,,,
sync,1783598176.3016477,705.954876628,41.338502914370395,40.567845629925145,40.65606762440814,51.454082238517096,39.260102748434036,47.886571771428024,0,0,478.578,464.624,461.58,486.43,460.894,470.765,413.204,242.605
sync,1783598191.0899594,720.743188423,,,,,,,,,,,,,,,,
sync,1783598191.2975345,720.950763357,0,0,0,0,0,0,0,0,247.721,245.103,240.924,241.528,246.054,244.858,241.488,243.433
sync,1783598206.0898304,735.743059445,,,,,,,,,,,,,,,,
