run_alias,_step,_timestamp,_runtime,groups,training_time_s,generation_or_interface_time_s,parameter_sync_time_s,rl_groups,expert_groups,carryover_discarded_groups,queue_size,partial_rollouts,validation_time_s
streamweave,1,1783607511.070647,523.935569323,261,59.37777695339173,25.456316966563463,,109,152,0,87,0,
streamweave,2,1783607555.5248833,583.802565698,363,52.07860396709293,4.164923711679876,2.2277277326211333,131,232,0,246.25,0,
streamweave,3,1783607615.4164038,640.801456156,363,53.40291971247643,3.9568109177052975,2.1732385773211718,131,232,0,257.5,11,
streamweave,4,1783607672.3906424,722.207692431,420,63.20382277946919,4.179243155755103,2.189568728208542,196,224,0,222,341,
streamweave,5,1783608006.008899,1054.767970388,427,70.8980174632743,4.050163282081485,2.2690409999340773,195,232,0,251.25,79,252.19252200517803
streamweave,6,1783608086.364966,1135.368171111,452,81.24383750930429,3.948688897304237,2.499630876816809,228,224,0,262.75,82,
streamweave,7,1783608166.9650025,1217.307154923,410,79.29549447540194,4.08760314527899,2.2219626661390066,234,176,0,273.75,33,
streamweave,8,1783608248.909351,1306.498417068,396,82.30265351198614,3.8948883414268494,2.163552278652787,236,160,0,274.25,51,
streamweave,9,1783608338.093915,1395.323066427,396,86.49470262415707,4.241986278444529,2.2524882312864065,236,160,0,284,36,
streamweave,10,1783608646.1572366,1711.488309879,382,88.02102994732559,3.8181637171655893,2.658882750198245,238,144,0,276.75,53,208.46640497352928
streamweave,11,1783608743.088154,1795.725098767,414,98.10657601989806,3.420066736638546,3.1004651626572013,270,144,0,279.75,101,
streamweave,12,1783608827.3545783,1889.519171682,393,82.56787750124931,3.2832674914970994,2.1080835023894906,273,120,0,287,24,
streamweave,13,1783608921.1504211,1987.194412453,446,94.16063432209194,4.131878389045596,2.1042186776176095,302,144,0,273.75,111,
streamweave,14,1783609018.791675,2101.466418096,450,99.62265592440963,3.4111566012725234,2.5627326909452677,338,112,0,254.75,33,
streamweave,15,1783609329.080741,2399.865630097,407,107.92049936298281,3.1813198318704963,2.2585769165307283,271,136,0,267,58,195.93260864261538
streamweave,16,1783609431.460702,2515.201022182,443,111.57827321998775,3.1155224246904254,2.0930859353393316,339,104,0,285.75,64,
streamweave,17,1783609546.884427,2644.486485814,450,103.2831575749442,3.0890932232141495,2.1844572834670544,338,112,0,246.5,101,
streamweave,18,1783609676.0821035,2763.161655597,489,130.83427387662232,3.417590631172061,2.2476677019149065,369,120,0,263.25,251,
streamweave,19,1783609794.7564132,2877.842517267,425,117.10130826197565,2.8800044003874063,2.41315443161875,305,120,0,273.5,69,
streamweave,20,1783610090.2031898,3156.253308067,368,107.40976206958294,2.979707875289023,2.1581401778385043,240,128,0,279.5,148,170.93127612769604
streamweave,21,1783610187.9274085,3244.538715074,489,107.53869268670678,2.90823726169765,2.2714853594079614,369,120,0,268,83,
streamweave,22,1783610276.2050056,3342.664796599,475,92.06254004593939,3.1991433603689075,2.1005223635584116,371,104,0,266.5,20,
streamweave,23,1783610374.3376691,3424.763883472,457,94.33825632184744,3.0544726066291332,2.7853338550776243,337,120,0,263.75,84,
streamweave,24,1783610456.3595917,3530.714568613,450,88.39351415261626,3.1696688309311867,2.0637649800628424,338,112,0,266.25,50,
streamweave,25,1783610734.1005518,3788.000885887,411,92.47385484632105,2.8229371225461364,2.240069855004549,307,104,0,265.5,217,171.71419988200068
streamweave,26,1783610819.5961478,3878.870920743,457,100.28315138909966,3.149954398162663,2.083889870904386,337,120,0,261.25,177,
streamweave,27,1783610910.5295825,3965.912572695,418,81.78503193240613,2.9099906720221043,2.148273538798094,306,112,0,269.5,125,
streamweave,28,1783610997.506721,4064.022236025,436,93.99179100804031,2.8290935391560197,2.113842881284654,340,96,0,271.25,90,
streamweave,29,1783611095.6965702,4156.744544245,443,90.80838013067842,2.848282684572041,2.3063694946467876,339,104,0,269.25,58,
streamweave,30,1783611391.1495736,4459.541345779,418,92.26131132617593,3.0709491036832333,2.0890227891504765,306,112,0,249,91,193.3084050156176
streamweave,31,1783611491.1372404,4558.258475575,482,105.27280703932047,3.901456108316779,2.0582075277343392,370,112,0,273.25,43,
