run,cycle,cumulative_time_s,cumulative_groups
streamweave,103,10890.000391764566,46015.0
streamweave,104,10984.089170360006,46476.0
streamweave,105,11078.262517112307,46951.0
streamweave,106,11172.651788306423,47433.0
streamweave,107,11252.206800255924,47862.0
streamweave,108,11337.980643710122,48330.0
streamweave,109,11419.141596054658,48773.0
streamweave,110,11511.403970439918,49241.0
streamweave,111,11598.011067108251,49702.0
streamweave,112,11684.294585797004,50163.0
streamweave,113,11773.145732015371,50631.0
streamweave,114,11859.290719147772,51092.0
streamweave,115,11950.713630435988,51567.0
streamweave,116,12040.164299194701,52028.0
streamweave,117,12122.058083264157,52471.0
streamweave,118,12210.941564046778,52939.0
streamweave,119,12299.13867943827,53386.0
streamweave,120,12390.101552839391,53861.0
streamweave,121,12479.472006239928,54329.0
streamweave,122,12565.93574357219,54804.0
streamweave,123,12654.195442741737,55272.0
streamweave,124,12746.399540585466,55747.0
streamweave,125,12842.035641929135,56229.0
streamweave,126,12934.265077234246,56704.0
streamweave,127,13020.929818213917,57154.0
streamweave,128,13113.06667460315,57622.0
streamweave,129,13198.718822394498,58090.0
streamweave,130,13284.898923818953,58540.0
streamweave,131,13374.866642433219,59008.0
streamweave,132,13457.629978251643,59444.0
streamweave,133,13539.264598930255,59912.0
streamweave,134,13628.91616919078,60373.0
streamweave,135,13721.738697041757,60848.0
streamweave,136,13818.286994083785,61316.0
streamweave,137,13910.210889128037,61791.0
streamweave,138,13997.073603624478,62245.0
streamweave,139,14092.177354591899,62720.0
streamweave,140,14186.785579455085,63174.0
streamweave,141,14278.620215808973,63642.0
streamweave,142,14369.89337507449,64117.0
streamweave,143,14459.526882689446,64571.0
streamweave,144,14548.076384755783,65018.0
streamweave,145,14640.26199629251,65472.0
streamweave,146,14732.938314818777,65933.0
streamweave,147,14820.943005158566,66408.0
streamweave,148,14912.055665202439,66862.0
streamweave,149,15003.164648680948,67330.0
streamweave,150,15097.716975489631,67798.0
streamweave,151,15191.53572129272,68273.0
streamweave,152,15285.831960245036,68734.0
streamweave,153,15382.972422742285,69195.0
streamweave,154,15472.68976243306,69649.0
streamweave,155,15570.216555430554,70124.0
streamweave,156,15661.311302303337,70560.0
streamweave,157,15753.467979334295,71028.0
streamweave,158,15846.151862698607,71503.0
streamweave,159,15937.326629311778,71971.0
streamweave,160,16034.09060545452,72432.0
streamweave,161,16120.661380078644,72907.0
streamweave,162,16209.716900694184,73368.0
streamweave,163,16303.001876491122,73815.0
streamweave,164,16397.885653431527,74269.0
streamweave,165,16494.13292727992,74737.0
streamweave,166,16586.244744969532,75205.0
streamweave,167,16676.254452304915,75666.0
streamweave,168,16760.458831995726,76095.0
streamweave,169,16856.89669057913,76563.0
streamweave,170,16946.42384968605,77017.0
streamweave,171,17034.468904570676,77457.0
streamweave,172,17127.907768462785,77918.0
streamweave,173,17217.5321772974,78379.0
streamweave,174,17311.595432887785,78840.0
streamweave,175,17408.300514328294,79301.0
streamweave,176,17503.75662249606,79762.0
streamweave,177,17599.199620998465,80230.0
streamweave,178,17687.216198353097,80684.0
streamweave,179,17776.67604205478,81131.0
streamweave,180,17868.99004031252,81599.0
streamweave,181,17959.938913295045,82053.0
streamweave,182,18051.802667554468,82514.0
streamweave,183,18148.700416635722,82968.0
streamweave,184,18243.32368008513,83429.0
streamweave,185,18338.35643101111,83876.0
streamweave,186,18432.819534526207,84337.0
streamweave,187,18530.97606135998,84791.0
streamweave,188,18628.56454506237,85245.0
streamweave,189,18729.675811059773,85720.0
streamweave,190,18828.415748043917,86174.0
