run_alias,history_index,groups,training_time_s,power_samples,mean_power_watts,throughput_groups_per_s,energy_per_group_joules,trimmed_energy_per_group_joules
sync,83,128,49.579487,3,4951.094000,2.581713,1917.755492,1807.962492
sync,84,128,51.074885,4,4104.906750,2.506124,1637.950298,1907.204420
sync,85,128,53.130018,3,4286.585667,2.409184,1779.268550,1011.801425
sync,86,128,54.415802,4,5448.275750,2.352258,2316.189807,2427.420915
sync,87,128,49.298739,3,4728.886333,2.596415,1821.313522,1597.823725
sync,88,128,52.249199,4,3629.033500,2.449798,1481.360092,1569.901461
sync,89,128,49.604340,3,4419.590000,2.580419,1712.740976,771.687742
sync,91,128,51.309345,3,4214.662333,2.494672,1689.465339,2319.642170
sync,92,128,52.284686,4,4229.249500,2.448136,1727.538932,1508.863338
sync,93,128,55.818082,4,4802.977500,2.293164,2094.476513,2637.432518
sync,94,128,53.150351,3,5483.633000,2.408263,2277.007947,2295.997155
sync,95,128,53.179330,4,5521.617750,2.406950,2294.030729,2368.415005
sync,96,128,53.267968,3,5248.614333,2.402945,2184.242327,2490.321594
sync,97,128,54.536366,4,4689.019750,2.347058,1997.828897,1679.042852
sync,98,128,52.975792,3,5785.659667,2.416198,2394.530507,2503.929381
sync,99,128,51.127219,3,4754.634667,2.503559,1899.150376,997.903059
sync,101,128,52.011586,3,4951.248000,2.460990,2011.892655,2590.215165
sync,102,128,53.733215,4,4869.702250,2.382139,2044.255905,1711.358386
sync,103,128,59.067192,4,4997.589500,2.167024,2306.199817,1832.451638
sync,104,128,59.305660,4,4881.007500,2.158310,2261.495093,1882.948454
streamweave,1,261,59.377777,4,4647.139000,4.395584,1057.229054,1041.601323
streamweave,2,363,52.078604,3,4444.122333,6.970233,637.585915,707.956255
streamweave,3,363,53.402920,3,4221.801333,6.797381,621.092335,296.426367
streamweave,4,420,63.203823,4,5310.660750,6.645168,799.176335,846.179702
streamweave,6,452,81.243838,6,4613.939500,5.563499,829.323343,906.323898
streamweave,7,410,79.295494,5,5156.314000,5.170533,997.249923,967.462538
streamweave,8,396,82.302654,6,5402.953500,4.811510,1122.922752,1133.962427
streamweave,9,396,86.494703,6,4655.764833,4.578315,1016.916653,1094.576210
streamweave,11,414,98.106576,7,4492.234571,4.219901,1064.535634,1182.811317
streamweave,12,393,82.567878,5,5428.498400,4.759720,1140.507865,1102.591337
streamweave,13,446,94.160634,6,5399.679000,4.736587,1139.993721,1135.512805
streamweave,14,450,99.622656,7,5309.648000,4.517045,1175.469413,1216.230487
streamweave,16,443,111.578273,7,4943.600286,3.970307,1245.143078,1390.185744
streamweave,17,450,103.283158,7,5552.799714,4.356954,1274.468195,1239.899250
streamweave,18,489,130.834274,9,5477.168889,3.737553,1465.442565,1454.660444
streamweave,19,425,117.101308,8,5491.174750,3.629336,1512.997052,1523.634374
streamweave,21,489,107.538693,7,5102.324857,4.547201,1122.080460,1168.351994
streamweave,22,475,92.062540,6,5396.555167,5.159536,1045.938055,1014.570862
streamweave,23,457,94.338256,6,5553.219167,4.844270,1146.347950,1127.020236
streamweave,24,450,88.393514,6,4714.267667,5.090871,926.023746,921.984866
streamweave,26,457,100.283151,7,4323.738286,4.557097,948.792344,991.877039
streamweave,27,418,81.785032,5,4818.983600,5.110960,942.872554,972.600122
streamweave,28,436,93.991791,6,5168.222167,4.638703,1114.152426,1095.112262
streamweave,29,443,90.808380,6,5238.135333,4.878404,1073.739468,1023.047006
streamweave,31,482,105.272807,7,5323.463571,4.578580,1162.688700,1133.331789
streamweave,32,411,89.557825,6,5406.228167,4.589214,1178.029289,1147.197446
streamweave,33,482,119.292238,8,4734.765000,4.040498,1171.827209,1163.757204
streamweave,34,475,117.478914,8,5016.271250,4.043279,1240.644420,1248.370019
streamweave,36,443,103.718010,7,4667.756714,4.271196,1092.845236,1196.597636
