run,cycle,groups,time_s,request_mean_s,request_max_s,generation_phase_s
sync,1,128,208.04509280901402,11.03913595274389,27.283335763029754,31.346475067548454
sync,2,128,35.19920054357499,3.892804538272685,18.15687705948949,19.428533700294793
sync,3,128,33.70258746575564,4.085277786484767,18.44972672034055,19.786385413259268
sync,4,128,33.7724647494033,3.8798541122587267,18.578741554170847,19.78618721663952
sync,5,128,31.371284211054444,3.8051032191506238,18.500945560634136,19.757612098939717
sync,6,128,33.04285638965666,3.8166416913618377,18.52985767275095,19.986987714655697
sync,7,128,32.450805028900504,3.795323903249482,18.163975063711405,19.534030479379
sync,8,128,33.06362779811025,4.1697560753655125,19.142051788046956,20.338622396811843
sync,9,128,33.995566197670996,4.29344793495693,19.04642083775252,20.240682885982096
sync,10,128,33.864669871516526,3.969149953187298,19.209411526098847,20.580664630047977
sync,11,128,33.77242760360241,3.8873813039544984,18.662461870349944,19.87191678211093
sync,12,128,32.39263869356364,3.813248126729377,18.584637452848256,19.989006850868464
sync,13,128,34.670503091067076,4.184720567606746,19.727136914618313,20.902289165183902
sync,14,128,35.31319440621883,4.091602380933182,18.459575013257563,19.64388146623969
sync,15,128,35.1784249143675,3.8934251457958453,18.55171907041222,19.796983464621007
sync,16,128,36.01551042217761,4.071385248304068,18.936502336524427,20.344857880845666
sync,17,128,37.00968584418297,4.235098045632185,19.144040174782276,20.641262765042484
sync,18,128,36.305703475140035,4.4483307087921276,19.353391794487834,20.558577238582075
sync,19,128,35.09688007738441,4.517307902112407,20.627912522293627,22.438539749011397
sync,20,128,35.36051312275231,4.675598748071934,19.672911575064063,21.073180759325624
sync,21,128,39.971753638237715,4.967634076345348,20.499264733865857,21.66934672743082
sync,22,128,35.73307856544852,4.6507169875167165,19.747166296467185,20.974124549888074
sync,23,128,36.89713066164404,4.8307886812308425,19.569954237900674,20.98488057218492
sync,24,128,39.860128885135055,5.273421181398589,20.344021341763437,21.805631169117987
